2023-05-30 16:29:48.490 [main] INFO  org.apache.flink.api.java.typeutils.TypeExtractor - class org.apache.flink.streaming.api.functions.source.TimestampedFileInputSplit does not contain a setter for field modificationTime
2023-05-30 16:29:48.493 [main] INFO  org.apache.flink.api.java.typeutils.TypeExtractor - Class class org.apache.flink.streaming.api.functions.source.TimestampedFileInputSplit cannot be used as a POJO type because not all fields are valid POJO fields, and must be processed as GenericType. Please read the Flink documentation on "Data Types & Serialization" for details of the effect on performance and schema evolution.
2023-05-30 16:29:48.715 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.cpu.cores required for local execution is not set, setting it to the maximal possible value.
2023-05-30 16:29:48.716 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.task.heap.size required for local execution is not set, setting it to the maximal possible value.
2023-05-30 16:29:48.716 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.task.off-heap.size required for local execution is not set, setting it to the maximal possible value.
2023-05-30 16:29:48.717 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.network.min required for local execution is not set, setting it to its default value 64 mb.
2023-05-30 16:29:48.717 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.network.max required for local execution is not set, setting it to its default value 64 mb.
2023-05-30 16:29:48.717 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.managed.size required for local execution is not set, setting it to its default value 128 mb.
2023-05-30 16:29:48.719 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting Flink Mini Cluster
2023-05-30 16:29:49.148 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting Metrics Registry
2023-05-30 16:29:49.179 [main] INFO  o.apache.flink.runtime.metrics.MetricRegistryImpl - No metrics reporter configured, no metrics will be exposed/reported.
2023-05-30 16:29:49.179 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting RPC Service(s)
2023-05-30 16:29:49.188 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Trying to start local actor system
2023-05-30 16:29:49.645 [flink-akka.actor.default-dispatcher-5] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2023-05-30 16:29:49.721 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Actor system started at akka://flink
2023-05-30 16:29:49.731 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Trying to start local actor system
2023-05-30 16:29:49.738 [flink-metrics-6] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2023-05-30 16:29:49.744 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Actor system started at akka://flink-metrics
2023-05-30 16:29:49.753 [main] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.metrics.dump.MetricQueryService at akka://flink-metrics/user/rpc/MetricQueryService .
2023-05-30 16:29:49.803 [main] INFO  org.apache.flink.runtime.blob.BlobServer - Created BLOB server storage directory C:\Users\PENGZH~1\AppData\Local\Temp\minicluster_aeb52075929230f33730b2fa94afb555\blobStorage
2023-05-30 16:29:49.806 [main] INFO  org.apache.flink.runtime.blob.BlobServer - Started BLOB server at 0.0.0.0:62691 - max concurrent requests: 50 - max backlog: 1000
2023-05-30 16:29:49.809 [main] INFO  o.a.f.r.s.t.KerberosDelegationTokenManagerFactory - Cannot use kerberos delegation token manager because Hadoop cannot be found in the Classpath.
2023-05-30 16:29:49.815 [main] INFO  org.apache.flink.runtime.blob.PermanentBlobCache - Created BLOB cache storage directory C:\Users\PENGZH~1\AppData\Local\Temp\minicluster_aeb52075929230f33730b2fa94afb555\blobStorage
2023-05-30 16:29:49.817 [main] INFO  org.apache.flink.runtime.blob.TransientBlobCache - Created BLOB cache storage directory C:\Users\PENGZH~1\AppData\Local\Temp\minicluster_aeb52075929230f33730b2fa94afb555\blobStorage
2023-05-30 16:29:49.818 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting 1 TaskManager(s)
2023-05-30 16:29:49.823 [main] INFO  o.a.flink.runtime.taskexecutor.TaskManagerRunner - Starting TaskManager with ResourceID: 4b83ef54-b8bf-44ba-ad02-73137b009c79
2023-05-30 16:29:49.838 [main] INFO  o.a.flink.runtime.taskexecutor.TaskManagerServices - Temporary file directory 'C:\Users\PENGZH~1\AppData\Local\Temp': total 953 GB, usable 647 GB (67.89% usable)
2023-05-30 16:29:49.842 [main] INFO  o.apache.flink.runtime.io.disk.iomanager.IOManager - Created a new FileChannelManager for spilling of task related data to disk (joins, sorting, ...). Used directories:
	C:\Users\PENGZH~1\AppData\Local\Temp\flink-io-1c77e92f-a643-4b97-9615-85c0c639d686
2023-05-30 16:29:49.848 [main] INFO  o.a.f.r.io.network.NettyShuffleServiceFactory - Created a new FileChannelManager for storing result partitions of BLOCKING shuffles. Used directories:
	C:\Users\PENGZH~1\AppData\Local\Temp\flink-netty-shuffle-967dc900-6a10-472d-b2a2-7969eb0fcdea
2023-05-30 16:29:49.871 [main] INFO  o.a.f.runtime.io.network.buffer.NetworkBufferPool - Allocated 64 MB for network buffer pool (number of memory segments: 2048, bytes per segment: 32768).
2023-05-30 16:29:49.880 [main] INFO  o.a.f.runtime.io.network.NettyShuffleEnvironment - Starting the network environment and its components.
2023-05-30 16:29:49.881 [main] INFO  o.apache.flink.runtime.taskexecutor.KvStateService - Starting the kvState service and its components.
2023-05-30 16:29:49.890 [main] INFO  org.apache.flink.configuration.Configuration - Config uses fallback configuration key 'akka.ask.timeout' instead of key 'taskmanager.slot.timeout'
2023-05-30 16:29:49.898 [main] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.taskexecutor.TaskExecutor at akka://flink/user/rpc/taskmanager_0 .
2023-05-30 16:29:49.908 [flink-akka.actor.default-dispatcher-5] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Start job leader service.
2023-05-30 16:29:49.910 [flink-akka.actor.default-dispatcher-5] INFO  org.apache.flink.runtime.filecache.FileCache - User file cache uses directory C:\Users\PENGZH~1\AppData\Local\Temp\flink-dist-cache-640f6dc0-bce7-464a-8d52-76b93c8d7e47
2023-05-30 16:29:49.941 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Starting rest endpoint.
2023-05-30 16:29:50.482 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Rest endpoint listening at localhost:62742
2023-05-30 16:29:50.483 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender http://localhost:62742
2023-05-30 16:29:50.484 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Web frontend listening at http://localhost:62742.
2023-05-30 16:29:50.484 [mini-cluster-io-thread-1] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - http://localhost:62742 was granted leadership with leaderSessionID=560f1753-9b00-4b1c-b629-d5e322ccb8c4
2023-05-30 16:29:50.484 [mini-cluster-io-thread-1] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader http://localhost:62742 , session=560f1753-9b00-4b1c-b629-d5e322ccb8c4
2023-05-30 16:29:50.493 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: DefaultDispatcherRunner
2023-05-30 16:29:50.493 [main] INFO  o.a.f.r.resourcemanager.ResourceManagerServiceImpl - Starting resource manager service.
2023-05-30 16:29:50.493 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: ResourceManagerServiceImpl
2023-05-30 16:29:50.494 [mini-cluster-io-thread-2] INFO  o.a.f.r.dispatcher.runner.DefaultDispatcherRunner - DefaultDispatcherRunner was granted leadership with leader id e6d12c42-bffd-4f15-94c6-5ae4e6f743c3. Creating new DispatcherLeaderProcess.
2023-05-30 16:29:50.494 [pool-2-thread-1] INFO  o.a.f.r.resourcemanager.ResourceManagerServiceImpl - Resource manager service is granted leadership with session id 5e0f9559-9fab-489e-a3c2-05c79053bb31.
2023-05-30 16:29:50.495 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Flink Mini Cluster started successfully
2023-05-30 16:29:50.497 [mini-cluster-io-thread-2] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Start SessionDispatcherLeaderProcess.
2023-05-30 16:29:50.501 [mini-cluster-io-thread-1] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Recover all persisted job graphs that are not finished, yet.
2023-05-30 16:29:50.501 [mini-cluster-io-thread-1] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Successfully recovered 0 persisted job graphs.
2023-05-30 16:29:50.508 [pool-2-thread-1] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.resourcemanager.StandaloneResourceManager at akka://flink/user/rpc/resourcemanager_1 .
2023-05-30 16:29:50.511 [mini-cluster-io-thread-1] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.dispatcher.StandaloneDispatcher at akka://flink/user/rpc/dispatcher_2 .
2023-05-30 16:29:50.518 [flink-akka.actor.default-dispatcher-5] INFO  o.a.f.r.resourcemanager.StandaloneResourceManager - Starting the resource manager.
2023-05-30 16:29:50.522 [mini-cluster-io-thread-1] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/dispatcher_2 , session=e6d12c42-bffd-4f15-94c6-5ae4e6f743c3
2023-05-30 16:29:50.523 [mini-cluster-io-thread-3] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/resourcemanager_1 , session=5e0f9559-9fab-489e-a3c2-05c79053bb31
2023-05-30 16:29:50.524 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Connecting to ResourceManager akka://flink/user/rpc/resourcemanager_1(a3c205c79053bb315e0f95599fab489e).
2023-05-30 16:29:50.543 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Resolved ResourceManager address, beginning registration
2023-05-30 16:29:50.549 [flink-akka.actor.default-dispatcher-9] INFO  o.a.f.r.resourcemanager.StandaloneResourceManager - Registering TaskManager with ResourceID 4b83ef54-b8bf-44ba-ad02-73137b009c79 (akka://flink/user/rpc/taskmanager_0) at ResourceManager
2023-05-30 16:29:50.550 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.dispatcher.StandaloneDispatcher - Received JobGraph submission 'Window WordCount' (0de1692e781512095dcc406cdff1a95e).
2023-05-30 16:29:50.551 [flink-akka.actor.default-dispatcher-5] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Successful registration at resource manager akka://flink/user/rpc/resourcemanager_1 under registration id e2d65ce5e54ae03aeab72c37abb24b9d.
2023-05-30 16:29:50.551 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.dispatcher.StandaloneDispatcher - Submitting job 'Window WordCount' (0de1692e781512095dcc406cdff1a95e).
2023-05-30 16:29:50.561 [flink-akka.actor.default-dispatcher-7] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: JobMasterServiceLeadershipRunner
2023-05-30 16:29:50.569 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.jobmaster.JobMaster at akka://flink/user/rpc/jobmanager_3 .
2023-05-30 16:29:50.575 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Initializing job 'Window WordCount' (0de1692e781512095dcc406cdff1a95e).
2023-05-30 16:29:50.589 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Using restart back off time strategy NoRestartBackoffTimeStrategy for Window WordCount (0de1692e781512095dcc406cdff1a95e).
2023-05-30 16:29:50.611 [jobmanager-io-thread-1] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Created execution graph f5db7aff2a0e25be1f2427f51699ce80 for job 0de1692e781512095dcc406cdff1a95e.
2023-05-30 16:29:50.624 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Running initialization on master for job Window WordCount (0de1692e781512095dcc406cdff1a95e).
2023-05-30 16:29:50.624 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Successfully ran initialization on master in 0 ms.
2023-05-30 16:29:50.642 [jobmanager-io-thread-1] INFO  o.a.f.r.scheduler.adapter.DefaultExecutionTopology - Built 1 new pipelined regions in 0 ms, total 1 pipelined regions currently.
2023-05-30 16:29:50.647 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - No state backend has been configured, using default (HashMap) org.apache.flink.runtime.state.hashmap.HashMapStateBackend@1a7c17fc
2023-05-30 16:29:50.647 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.state.StateBackendLoader - State backend loader loads the state backend as HashMapStateBackend
2023-05-30 16:29:50.648 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Checkpoint storage is set to 'jobmanager'
2023-05-30 16:29:50.672 [jobmanager-io-thread-1] INFO  o.a.flink.runtime.checkpoint.CheckpointCoordinator - No checkpoint found during restore.
2023-05-30 16:29:50.678 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Using failover strategy org.apache.flink.runtime.executiongraph.failover.flip1.RestartPipelinedRegionFailoverStrategy@2547de8a for Window WordCount (0de1692e781512095dcc406cdff1a95e).
2023-05-30 16:29:50.685 [jobmanager-io-thread-1] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/jobmanager_3 , session=ce933f25-9514-4ba3-810d-f5cbb50fb43a
2023-05-30 16:29:50.687 [flink-akka.actor.default-dispatcher-7] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Starting execution of job 'Window WordCount' (0de1692e781512095dcc406cdff1a95e) under job master id 810df5cbb50fb43ace933f2595144ba3.
2023-05-30 16:29:50.689 [flink-akka.actor.default-dispatcher-7] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Starting scheduling with scheduling strategy [org.apache.flink.runtime.scheduler.strategy.PipelinedRegionSchedulingStrategy]
2023-05-30 16:29:50.690 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Job Window WordCount (0de1692e781512095dcc406cdff1a95e) switched from state CREATED to RUNNING.
2023-05-30 16:29:50.692 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Source: Custom File Source (1/1) (f5db7aff2a0e25be1f2427f51699ce80_bc764cd8ddf7a0cff126f51c16239658_0_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.692 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (1/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_0_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.692 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (2/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_1_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.692 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (3/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_2_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.692 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (4/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_3_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.692 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (5/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_4_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.692 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (6/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_5_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (7/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_6_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (8/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_7_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (9/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_8_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (10/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_9_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (11/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_10_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Split Reader: Custom File Source -> Flat Map (12/12) (f5db7aff2a0e25be1f2427f51699ce80_20ba6b65f97481d5570070de90e4e791_11_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - TumblingProcessingTimeWindows -> Sink: Print to Std. Out (1/12) (f5db7aff2a0e25be1f2427f51699ce80_b5c8d46f3e7b141acf271f12622e752b_0_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - TumblingProcessingTimeWindows -> Sink: Print to Std. Out (2/12) (f5db7aff2a0e25be1f2427f51699ce80_b5c8d46f3e7b141acf271f12622e752b_1_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - TumblingProcessingTimeWindows -> Sink: Print to Std. Out (3/12) (f5db7aff2a0e25be1f2427f51699ce80_b5c8d46f3e7b141acf271f12622e752b_2_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - TumblingProcessingTimeWindows -> Sink: Print to Std. Out (4/12) (f5db7aff2a0e25be1f2427f51699ce80_b5c8d46f3e7b141acf271f12622e752b_3_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - TumblingProcessingTimeWindows -> Sink: Print to Std. Out (5/12) (f5db7aff2a0e25be1f2427f51699ce80_b5c8d46f3e7b141acf271f12622e752b_4_0) switched from CREATED to SCHEDULED.
2023-05-30 16:29:50.693 [flink-akka.actor.default-dispatcher-7] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - TumblingProcessingTimeWindows -> Sink: Print to Std. Out (6/12) (f5db7aff2a0e25be1f2427f51699ce80_b5c8d46f3e7b141acf271f12622e752b_5_0) switched from CREATED to SCHEDULED.
