2023-05-31 15:31:55.504 [TransientBlobCache shutdown hook] INFO  org.apache.flink.runtime.blob.TransientBlobCache - Shutting down BLOB cache
2023-05-31 15:31:55.504 [PermanentBlobCache shutdown hook] INFO  org.apache.flink.runtime.blob.PermanentBlobCache - Shutting down BLOB cache
2023-05-31 15:31:55.504 [TaskExecutorLocalStateStoresManager shutdown hook] INFO  o.a.f.r.state.TaskExecutorLocalStateStoresManager - Shutting down TaskExecutorLocalStateStoresManager.
2023-05-31 15:31:55.504 [TaskExecutorStateChangelogStoragesManager shutdown hook] INFO  o.a.f.r.s.TaskExecutorStateChangelogStoragesManager - Shutting down TaskExecutorStateChangelogStoragesManager.
2023-05-31 15:31:55.513 [BlobServer shutdown hook] INFO  org.apache.flink.runtime.blob.BlobServer - Stopped BLOB server at 0.0.0.0:64333
2023-05-31 15:31:55.514 [FileCache shutdown hook] INFO  org.apache.flink.runtime.filecache.FileCache - removed file cache directory C:\Users\PENGZH~1\AppData\Local\Temp\flink-dist-cache-71e13ec0-2cde-4ad0-beff-8034a764607c
2023-05-31 15:31:55.515 [FileChannelManagerImpl-io shutdown hook] INFO  o.a.flink.runtime.io.disk.FileChannelManagerImpl - FileChannelManager removed spill file directory C:\Users\PENGZH~1\AppData\Local\Temp\flink-io-646f6413-87fc-409f-b510-dcfb4472b86c
2023-05-31 15:31:55.515 [FileChannelManagerImpl-netty-shuffle shutdown hook] INFO  o.a.flink.runtime.io.disk.FileChannelManagerImpl - FileChannelManager removed spill file directory C:\Users\PENGZH~1\AppData\Local\Temp\flink-netty-shuffle-11a13ba7-c664-46eb-a295-ff35a4a74223
2023-05-31 17:39:28.463 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.cpu.cores required for local execution is not set, setting it to the maximal possible value.
2023-05-31 17:39:28.463 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.task.heap.size required for local execution is not set, setting it to the maximal possible value.
2023-05-31 17:39:28.463 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.task.off-heap.size required for local execution is not set, setting it to the maximal possible value.
2023-05-31 17:39:28.464 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.network.min required for local execution is not set, setting it to its default value 64 mb.
2023-05-31 17:39:28.464 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.network.max required for local execution is not set, setting it to its default value 64 mb.
2023-05-31 17:39:28.464 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.managed.size required for local execution is not set, setting it to its default value 128 mb.
2023-05-31 17:39:28.465 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting Flink Mini Cluster
2023-05-31 17:39:28.853 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting Metrics Registry
2023-05-31 17:39:28.884 [main] INFO  o.apache.flink.runtime.metrics.MetricRegistryImpl - No metrics reporter configured, no metrics will be exposed/reported.
2023-05-31 17:39:28.884 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting RPC Service(s)
2023-05-31 17:39:28.893 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Trying to start local actor system
2023-05-31 17:39:29.353 [flink-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2023-05-31 17:39:29.428 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Actor system started at akka://flink
2023-05-31 17:39:29.438 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Trying to start local actor system
2023-05-31 17:39:29.445 [flink-metrics-7] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2023-05-31 17:39:29.451 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Actor system started at akka://flink-metrics
2023-05-31 17:39:29.459 [main] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.metrics.dump.MetricQueryService at akka://flink-metrics/user/rpc/MetricQueryService .
2023-05-31 17:39:29.510 [main] INFO  org.apache.flink.runtime.blob.BlobServer - Created BLOB server storage directory C:\Users\PENGZH~1\AppData\Local\Temp\minicluster_e1fe8d1c0611174239b149830cd2cd3b\blobStorage
2023-05-31 17:39:29.513 [main] INFO  org.apache.flink.runtime.blob.BlobServer - Started BLOB server at 0.0.0.0:61822 - max concurrent requests: 50 - max backlog: 1000
2023-05-31 17:39:29.517 [main] INFO  o.a.f.r.s.t.KerberosDelegationTokenManagerFactory - Cannot use kerberos delegation token manager because Hadoop cannot be found in the Classpath.
2023-05-31 17:39:29.523 [main] INFO  org.apache.flink.runtime.blob.PermanentBlobCache - Created BLOB cache storage directory C:\Users\PENGZH~1\AppData\Local\Temp\minicluster_e1fe8d1c0611174239b149830cd2cd3b\blobStorage
2023-05-31 17:39:29.524 [main] INFO  org.apache.flink.runtime.blob.TransientBlobCache - Created BLOB cache storage directory C:\Users\PENGZH~1\AppData\Local\Temp\minicluster_e1fe8d1c0611174239b149830cd2cd3b\blobStorage
2023-05-31 17:39:29.525 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting 1 TaskManager(s)
2023-05-31 17:39:29.529 [main] INFO  o.a.flink.runtime.taskexecutor.TaskManagerRunner - Starting TaskManager with ResourceID: dbe4091f-71a6-495d-ad55-cb811df7ec1c
2023-05-31 17:39:29.544 [main] INFO  o.a.flink.runtime.taskexecutor.TaskManagerServices - Temporary file directory 'C:\Users\PENGZH~1\AppData\Local\Temp': total 953 GB, usable 646 GB (67.79% usable)
2023-05-31 17:39:29.548 [main] INFO  o.apache.flink.runtime.io.disk.iomanager.IOManager - Created a new FileChannelManager for spilling of task related data to disk (joins, sorting, ...). Used directories:
	C:\Users\PENGZH~1\AppData\Local\Temp\flink-io-f809276a-3989-45f3-9581-d601d971a90c
2023-05-31 17:39:29.554 [main] INFO  o.a.f.r.io.network.NettyShuffleServiceFactory - Created a new FileChannelManager for storing result partitions of BLOCKING shuffles. Used directories:
	C:\Users\PENGZH~1\AppData\Local\Temp\flink-netty-shuffle-32f83e7e-0ed1-47c1-bf80-050673fa2475
2023-05-31 17:39:29.577 [main] INFO  o.a.f.runtime.io.network.buffer.NetworkBufferPool - Allocated 64 MB for network buffer pool (number of memory segments: 2048, bytes per segment: 32768).
2023-05-31 17:39:29.587 [main] INFO  o.a.f.runtime.io.network.NettyShuffleEnvironment - Starting the network environment and its components.
2023-05-31 17:39:29.589 [main] INFO  o.apache.flink.runtime.taskexecutor.KvStateService - Starting the kvState service and its components.
2023-05-31 17:39:29.597 [main] INFO  org.apache.flink.configuration.Configuration - Config uses fallback configuration key 'akka.ask.timeout' instead of key 'taskmanager.slot.timeout'
2023-05-31 17:39:29.607 [main] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.taskexecutor.TaskExecutor at akka://flink/user/rpc/taskmanager_0 .
2023-05-31 17:39:29.618 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Start job leader service.
2023-05-31 17:39:29.619 [flink-akka.actor.default-dispatcher-4] INFO  org.apache.flink.runtime.filecache.FileCache - User file cache uses directory C:\Users\PENGZH~1\AppData\Local\Temp\flink-dist-cache-0a0f9c9d-1299-49d8-b466-79b670cdba49
2023-05-31 17:39:29.651 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Starting rest endpoint.
2023-05-31 17:39:30.210 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Rest endpoint listening at localhost:61874
2023-05-31 17:39:30.210 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender http://localhost:61874
2023-05-31 17:39:30.211 [main] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - Web frontend listening at http://localhost:61874.
2023-05-31 17:39:30.211 [mini-cluster-io-thread-1] INFO  o.a.f.runtime.dispatcher.DispatcherRestEndpoint - http://localhost:61874 was granted leadership with leaderSessionID=3b3fb7f2-4804-4bce-9696-e04aa928d69a
2023-05-31 17:39:30.212 [mini-cluster-io-thread-1] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader http://localhost:61874 , session=3b3fb7f2-4804-4bce-9696-e04aa928d69a
2023-05-31 17:39:30.220 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: DefaultDispatcherRunner
2023-05-31 17:39:30.220 [main] INFO  o.a.f.r.resourcemanager.ResourceManagerServiceImpl - Starting resource manager service.
2023-05-31 17:39:30.220 [main] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Proposing leadership to contender LeaderContender: ResourceManagerServiceImpl
2023-05-31 17:39:30.220 [mini-cluster-io-thread-2] INFO  o.a.f.r.dispatcher.runner.DefaultDispatcherRunner - DefaultDispatcherRunner was granted leadership with leader id 42f60c19-ded7-41c4-8615-af7b8ac2097a. Creating new DispatcherLeaderProcess.
2023-05-31 17:39:30.221 [pool-2-thread-1] INFO  o.a.f.r.resourcemanager.ResourceManagerServiceImpl - Resource manager service is granted leadership with session id abb454eb-25c6-46a2-a4b1-5ebb0c668164.
2023-05-31 17:39:30.222 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Flink Mini Cluster started successfully
2023-05-31 17:39:30.224 [mini-cluster-io-thread-2] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Start SessionDispatcherLeaderProcess.
2023-05-31 17:39:30.227 [mini-cluster-io-thread-1] INFO  o.a.f.r.d.runner.SessionDispatcherLeaderProcess - Recover all persisted job graphs that are not finished, yet.
